Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.195.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015;155.000 km;;;;1395 cc;125 hp;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/galeriden-volkswagen-golf-1-4-tsi-highline-2015-model-izmir/33767205
1.215.000 TL;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011;146.500 km;;;;1390 cc;122 hp;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-4-tsi-bluemotion-comfortline/procars-boyasiz-degisensiz-tramersiz-extrali-cift-renk-gogus/31900647
1.715.000 TL;Volkswagen;Passat;1.5 TSi Business;2021;135.000 km;;;;1498 cc;150 hp;Sedan;20 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-5-tsi-business/sahibinden-volkswagen-passat-1-5-tsi-business-2021-model/33760204
1.020.000 TL;Volkswagen;Golf;1.4 TSi Trendline;2012;24.000 km;;;;1390 cc;122 hp;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-trendline/emrah-auto-dan-2012-model-golf-24-bin-km-de-emsalsiz/33562704
1.445.000 TL;Volkswagen;Golf;1.4 TSi Highline;2016;103.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/2016-model-golf-1-4-highline-boyasiz-102-000-km-de/33363133
"1.085.000 TL
1.065.000 TL";Volkswagen;Jetta;1.2 TSi Trendline;2015;149.550 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;20 Ekim 2025;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-jetta-1-2-tsi-trendline/jetta-1-2-tsi-trendline-dsg-yetkili-servis-bakimli/33262999
655.000 TL;Volkswagen;Golf;1.6 Trendline;2012;232.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;20 Ekim 2025;3 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-6-trendline/2012-dsg-tertemiz/32833858
1.265.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016;297.000 km;;;;1598 cc;120 hp;Sedan;19 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/cam-tavan-degisensiz-passat/33739282
2.490.000 TL;Volkswagen;Golf;1.5 eTSI R Line;2024;26.000 km;;;;1498 cc;150 hp;Hatchback/5;19 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-5-etsi-r-line/cetinlerden-2024-vw-golf-r-line-isitma-cam-tavan-hibrit/31898588
435.000 TL;Volkswagen;Polo;1.4 Comfortline;2004;334.000 km;;;;1390 cc;75 hp;Hatchback/5;19 Ekim 2025;2 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-comfortline/otomatik-vites-kusursuz-polo/33120451
720.000 TL;Volkswagen;Polo;1.4 TDi Comfortline;2014;238.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;19 Ekim 2025;10 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-4-tdi-comfortline/kusursuz-otomatik-vites-2014-polo/33005267
